constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id
dl_0,3,,,
dl_0,6,West_exit,6,4
dl_0,7,East_exit,7,5
dl_0,8,West_exit,8,5
dl_0,5,East_exit,5,4
dl_1,2,,,
dl_1,56,East_exit,56,38
dl_1,57,West_exit,57,38
dl_1,58,West_exit,58,38
dl_2,3,,,
dl_2,54,East_exit,54,37
dl_2,55,West_exit,55,36
dl_2,53,East_exit,53,36
dl_2,56,West_exit,56,37
dl_3,2,,,
dl_3,29,West_exit,29,19
dl_3,27,East_exit,27,19
dl_3,28,East_exit,28,19
dl_4,2,,,
dl_4,59,East_exit,59,40
dl_4,60,West_exit,60,40
dl_4,61,West_exit,61,40
dl_5,2,,,
dl_5,11,East_exit,11,8
dl_5,12,West_exit,12,8
dl_5,13,West_exit,13,8
dl_6,3,,,
dl_6,57,East_exit,57,39
dl_6,58,West_exit,58,38
dl_6,59,West_exit,59,39
dl_6,56,East_exit,56,38
dl_7,2,,,
dl_7,38,East_exit,38,26
dl_7,39,West_exit,39,26
dl_7,40,West_exit,40,26
dl_8,3,,,
dl_8,36,East_exit,36,25
dl_8,37,West_exit,37,24
dl_8,35,East_exit,35,24
dl_8,38,West_exit,38,25
dl_9,2,,,
dl_9,8,East_exit,8,6
dl_9,9,West_exit,9,6
dl_9,10,West_exit,10,6
dl_10,3,,,
dl_10,3,West_exit,3,2
dl_10,4,East_exit,4,3
dl_10,5,West_exit,5,3
dl_10,2,East_exit,2,2
dl_11,2,,,
dl_11,35,West_exit,35,23
dl_11,33,East_exit,33,23
dl_11,34,East_exit,34,23
dl_12,2,,,
dl_12,26,West_exit,26,17
dl_12,24,East_exit,24,17
dl_12,25,East_exit,25,17
dl_13,2,,,
dl_13,17,West_exit,17,11
dl_13,15,East_exit,15,11
dl_13,16,East_exit,16,11
dl_14,2,,,
dl_14,50,West_exit,50,33
dl_14,48,East_exit,48,33
dl_14,49,East_exit,49,33
dl_15,2,,,
dl_15,14,West_exit,14,9
dl_15,12,East_exit,12,9
dl_15,13,East_exit,13,9
dl_16,2,,,
dl_16,53,West_exit,53,35
dl_16,51,East_exit,51,35
dl_16,52,East_exit,52,35
dl_17,2,,,
dl_17,8,West_exit,8,5
dl_17,6,East_exit,6,5
dl_17,7,East_exit,7,5
dl_18,2,,,
dl_18,47,West_exit,47,31
dl_18,45,East_exit,45,31
dl_18,46,East_exit,46,31
dl_19,2,,,
dl_19,44,West_exit,44,29
dl_19,42,East_exit,42,29
dl_19,43,East_exit,43,29
dl_20,3,,,
dl_20,45,West_exit,45,30
dl_20,46,East_exit,46,31
dl_20,47,West_exit,47,31
dl_20,44,East_exit,44,30
dl_21,3,,,
dl_21,48,West_exit,48,32
dl_21,49,East_exit,49,33
dl_21,50,West_exit,50,33
dl_21,47,East_exit,47,32
dl_22,5,,,
dl_22,48,West_exit,48,32
dl_22,49,East_exit,49,33
dl_22,50,West_exit,50,33
dl_22,45,West_exit,45,30
dl_22,46,East_exit,46,31
dl_22,44,East_exit,44,30
dl_23,2,,,
dl_23,41,East_exit,41,28
dl_23,42,West_exit,42,28
dl_23,43,West_exit,43,28
dl_24,3,,,
dl_24,60,East_exit,60,41
dl_24,61,West_exit,61,40
dl_24,59,East_exit,59,40
dl_24,62,West_exit,62,41
dl_25,3,,,
dl_25,54,West_exit,54,36
dl_25,55,East_exit,55,37
dl_25,53,East_exit,53,36
dl_25,56,West_exit,56,37
dl_26,5,,,
