pl_id,segment,head,margin,opp_speed_lim,arc_type,max_length,comment
0,2,2,0.05,40,APPR0,0.0,PL_0 appr from west
0,5,3,0.05,40,APPR1,0.0,PL_0 appr from east
0,3,2,0.05,0,ML1,0.7,PL_0 ML WB
0,3,3,0.05,0,ML0,0.7,PL_0 ML EB
0,4,2,0.05,20,S1,0.7,PL_0 siding WB
0,4,3,0.05,20,S0,0.7,PL_0 siding EB
1,5,4,0.05,40,APPR0,0.0,PL_1 appr from west
1,8,5,0.05,40,APPR1,0.0,PL_1 appr from east
1,6,4,0.05,0,ML1,0.7,PL_1 ML WB
1,6,5,0.05,0,ML0,0.7,PL_1 ML EB
1,7,4,0.05,20,S1,0.7,PL_1 siding WB
1,7,5,0.05,20,S0,0.7,PL_1 siding EB
2,8,6,0.05,40,APPR0,0.0,PL_2 appr from west
2,11,7,0.05,40,APPR1,0.0,PL_2 appr from east
2,9,6,0.05,0,ML1,0.7,PL_2 ML WB
2,9,7,0.05,0,ML0,0.7,PL_2 ML EB
2,10,6,0.05,20,S1,0.7,PL_2 siding WB
2,10,7,0.05,20,S0,0.7,PL_2 siding EB
3,11,8,0.05,40,APPR0,0.0,PL_3 appr from west
3,14,9,0.05,40,APPR1,0.0,PL_3 appr from east
3,12,8,0.05,0,ML1,0.7,PL_3 ML WB
3,12,9,0.05,0,ML0,0.7,PL_3 ML EB
3,13,8,0.05,20,S1,0.7,PL_3 siding WB
3,13,9,0.05,20,S0,0.7,PL_3 siding EB
4,14,10,0.05,40,APPR0,0.0,PL_4 appr from west
4,17,11,0.05,40,APPR1,0.0,PL_4 appr from east
4,15,10,0.05,0,ML1,0.7,PL_4 ML WB
4,15,11,0.05,0,ML0,0.7,PL_4 ML EB
4,16,10,0.05,20,S1,0.7,PL_4 siding WB
4,16,11,0.05,20,S0,0.7,PL_4 siding EB
5,17,12,0.05,40,APPR0,0.0,PL_5 appr from west
5,20,13,0.05,40,APPR1,0.0,PL_5 appr from east
5,18,12,0.05,0,ML1,0.7,PL_5 ML WB
5,18,13,0.05,0,ML0,0.7,PL_5 ML EB
5,19,12,0.05,20,S1,0.7,PL_5 siding WB
5,19,13,0.05,20,S0,0.7,PL_5 siding EB
6,20,14,0.05,40,APPR0,0.0,PL_6 appr from west
6,23,15,0.05,40,APPR1,0.0,PL_6 appr from east
6,21,14,0.05,0,ML1,0.7,PL_6 ML WB
6,21,15,0.05,0,ML0,0.7,PL_6 ML EB
6,22,14,0.05,20,S1,0.7,PL_6 siding WB
6,22,15,0.05,20,S0,0.7,PL_6 siding EB
7,23,16,0.05,40,APPR0,0.0,PL_7 appr from west
7,26,17,0.05,40,APPR1,0.0,PL_7 appr from east
7,24,16,0.05,0,ML1,0.7,PL_7 ML WB
7,24,17,0.05,0,ML0,0.7,PL_7 ML EB
7,25,16,0.05,20,S1,0.7,PL_7 siding WB
7,25,17,0.05,20,S0,0.7,PL_7 siding EB
8,26,18,0.05,40,APPR0,0.0,PL_8 appr from west
8,29,19,0.05,40,APPR1,0.0,PL_8 appr from east
8,27,18,0.05,0,ML1,0.7,PL_8 ML WB
8,27,19,0.05,0,ML0,0.7,PL_8 ML EB
8,28,18,0.05,20,S1,0.7,PL_8 siding WB
8,28,19,0.05,20,S0,0.7,PL_8 siding EB
9,29,20,0.05,40,APPR0,0.0,PL_9 appr from west
9,32,21,0.05,40,APPR1,0.0,PL_9 appr from east
9,30,20,0.05,0,ML1,0.7,PL_9 ML WB
9,30,21,0.05,0,ML0,0.7,PL_9 ML EB
9,31,20,0.05,20,S1,0.7,PL_9 siding WB
9,31,21,0.05,20,S0,0.7,PL_9 siding EB
10,32,22,0.05,40,APPR0,0.0,PL_10 appr from west
10,35,23,0.05,40,APPR1,0.0,PL_10 appr from east
10,33,22,0.05,0,ML1,0.7,PL_10 ML WB
10,33,23,0.05,0,ML0,0.7,PL_10 ML EB
10,34,22,0.05,20,S1,0.7,PL_10 siding WB
10,34,23,0.05,20,S0,0.7,PL_10 siding EB
11,35,24,0.05,40,APPR0,0.0,PL_11 appr from west
11,38,25,0.05,40,APPR1,0.0,PL_11 appr from east
11,36,24,0.05,0,ML1,0.7,PL_11 ML WB
11,36,25,0.05,0,ML0,0.7,PL_11 ML EB
11,37,24,0.05,20,S1,0.7,PL_11 siding WB
11,37,25,0.05,20,S0,0.7,PL_11 siding EB
12,38,26,0.05,40,APPR0,0.0,PL_12 appr from west
12,41,27,0.05,40,APPR1,0.0,PL_12 appr from east
12,39,26,0.05,0,ML1,0.7,PL_12 ML WB
12,39,27,0.05,0,ML0,0.7,PL_12 ML EB
12,40,26,0.05,20,S1,0.7,PL_12 siding WB
12,40,27,0.05,20,S0,0.7,PL_12 siding EB
13,41,28,0.05,40,APPR0,0.0,PL_13 appr from west
13,44,29,0.05,40,APPR1,0.0,PL_13 appr from east
13,42,28,0.05,0,ML1,0.7,PL_13 ML WB
13,42,29,0.05,0,ML0,0.7,PL_13 ML EB
13,43,28,0.05,20,S1,0.7,PL_13 siding WB
13,43,29,0.05,20,S0,0.7,PL_13 siding EB
14,44,30,0.05,40,APPR0,0.0,PL_14 appr from west
14,47,31,0.05,40,APPR1,0.0,PL_14 appr from east
14,45,30,0.05,0,ML1,0.7,PL_14 ML WB
14,45,31,0.05,0,ML0,0.7,PL_14 ML EB
14,46,30,0.05,20,S1,0.7,PL_14 siding WB
14,46,31,0.05,20,S0,0.7,PL_14 siding EB
15,47,32,0.05,40,APPR0,0.0,PL_15 appr from west
15,50,33,0.05,40,APPR1,0.0,PL_15 appr from east
15,48,32,0.05,0,ML1,0.7,PL_15 ML WB
15,48,33,0.05,0,ML0,0.7,PL_15 ML EB
15,49,32,0.05,20,S1,0.7,PL_15 siding WB
15,49,33,0.05,20,S0,0.7,PL_15 siding EB
16,50,34,0.05,40,APPR0,0.0,PL_16 appr from west
16,53,35,0.05,40,APPR1,0.0,PL_16 appr from east
16,51,34,0.05,0,ML1,0.7,PL_16 ML WB
16,51,35,0.05,0,ML0,0.7,PL_16 ML EB
16,52,34,0.05,20,S1,0.7,PL_16 siding WB
16,52,35,0.05,20,S0,0.7,PL_16 siding EB
17,53,36,0.05,40,APPR0,0.0,PL_17 appr from west
17,56,37,0.05,40,APPR1,0.0,PL_17 appr from east
17,54,36,0.05,0,ML1,0.7,PL_17 ML WB
17,54,37,0.05,0,ML0,0.7,PL_17 ML EB
17,55,36,0.05,20,S1,0.7,PL_17 siding WB
17,55,37,0.05,20,S0,0.7,PL_17 siding EB
18,56,38,0.05,40,APPR0,0.0,PL_18 appr from west
18,59,39,0.05,40,APPR1,0.0,PL_18 appr from east
18,57,38,0.05,0,ML1,0.7,PL_18 ML WB
18,57,39,0.05,0,ML0,0.7,PL_18 ML EB
18,58,38,0.05,20,S1,0.7,PL_18 siding WB
18,58,39,0.05,20,S0,0.7,PL_18 siding EB
19,59,40,0.05,40,APPR0,0.0,PL_19 appr from west
19,62,41,0.05,40,APPR1,0.0,PL_19 appr from east
19,60,40,0.05,0,ML1,0.7,PL_19 ML WB
19,60,41,0.05,0,ML0,0.7,PL_19 ML EB
19,61,40,0.05,20,S1,0.7,PL_19 siding WB
19,61,41,0.05,20,S0,0.7,PL_19 siding EB
