constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id
dl_0,2,,,
dl_0,32,West_exit,32,21
dl_0,30,East_exit,30,21
dl_0,31,East_exit,31,21
dl_1,2,,,
dl_1,29,West_exit,29,19
dl_1,27,East_exit,27,19
dl_1,28,East_exit,28,19
dl_2,2,,,
dl_2,20,West_exit,20,13
dl_2,18,East_exit,18,13
dl_2,19,East_exit,19,13
dl_3,2,,,
dl_3,5,West_exit,5,3
dl_3,3,East_exit,3,3
dl_3,4,East_exit,4,3
dl_4,3,,,
dl_4,6,West_exit,6,4
dl_4,7,East_exit,7,5
dl_4,5,East_exit,5,4
dl_4,8,West_exit,8,5
dl_5,2,,,
dl_5,26,East_exit,26,18
dl_5,27,West_exit,27,18
dl_5,28,West_exit,28,18
dl_6,2,,,
dl_6,29,East_exit,29,20
dl_6,30,West_exit,30,20
dl_6,31,West_exit,31,20
dl_7,2,,,
dl_7,11,East_exit,11,8
dl_7,12,West_exit,12,8
dl_7,13,West_exit,13,8
dl_8,3,,,
dl_8,18,East_exit,18,13
dl_8,19,West_exit,19,12
dl_8,17,East_exit,17,12
dl_8,20,West_exit,20,13
dl_9,3,,,
dl_9,21,West_exit,21,14
dl_9,22,East_exit,22,15
dl_9,23,West_exit,23,15
dl_9,20,East_exit,20,14
dl_10,2,,,
dl_10,17,West_exit,17,11
dl_10,15,East_exit,15,11
dl_10,16,East_exit,16,11
dl_11,2,,,
dl_11,14,West_exit,14,9
dl_11,12,East_exit,12,9
dl_11,13,East_exit,13,9
dl_12,3,,,
dl_12,21,East_exit,21,15
dl_12,22,West_exit,22,14
dl_12,20,East_exit,20,14
dl_12,23,West_exit,23,15
dl_13,2,,,
dl_13,26,West_exit,26,17
dl_13,24,East_exit,24,17
dl_13,25,East_exit,25,17
dl_14,2,,,
dl_14,20,East_exit,20,14
dl_14,21,West_exit,21,14
dl_14,22,West_exit,22,14
dl_15,3,,,
dl_15,15,West_exit,15,10
dl_15,16,East_exit,16,11
dl_15,17,West_exit,17,11
dl_15,14,East_exit,14,10
dl_16,3,,,
dl_16,3,West_exit,3,2
dl_16,4,East_exit,4,3
dl_16,5,West_exit,5,3
dl_16,2,East_exit,2,2
dl_17,2,,,
dl_17,23,West_exit,23,15
dl_17,21,East_exit,21,15
dl_17,22,East_exit,22,15
dl_18,3,,,
dl_18,30,West_exit,30,20
dl_18,31,East_exit,31,21
dl_18,32,West_exit,32,21
dl_18,29,East_exit,29,20
dl_19,3,,,
dl_19,3,East_exit,3,3
dl_19,4,West_exit,4,2
dl_19,2,East_exit,2,2
dl_19,5,West_exit,5,3
dl_20,3,,,
dl_20,6,East_exit,6,5
dl_20,7,West_exit,7,4
dl_20,5,East_exit,5,4
dl_20,8,West_exit,8,5
dl_21,3,,,
dl_21,9,West_exit,9,6
dl_21,10,East_exit,10,7
dl_21,11,West_exit,11,7
dl_21,8,East_exit,8,6
dl_22,3,,,
dl_22,12,West_exit,12,8
dl_22,13,East_exit,13,9
dl_22,14,West_exit,14,9
dl_22,11,East_exit,11,8
dl_23,3,,,
dl_23,18,West_exit,18,12
dl_23,19,East_exit,19,13
dl_23,20,West_exit,20,13
dl_23,17,East_exit,17,12
dl_24,3,,,
dl_24,24,West_exit,24,16
dl_24,25,East_exit,25,17
dl_24,26,West_exit,26,17
dl_24,23,East_exit,23,16
dl_25,3,,,
dl_25,9,East_exit,9,7
dl_25,10,West_exit,10,6
dl_25,8,East_exit,8,6
dl_25,11,West_exit,11,7
dl_26,2,,,
dl_26,11,West_exit,11,7
dl_26,9,East_exit,9,7
dl_26,10,East_exit,10,7
dl_27,2,,,
dl_27,8,West_exit,8,5
dl_27,6,East_exit,6,5
dl_27,7,East_exit,7,5
dl_28,5,,,
dl_28,9,West_exit,9,6
dl_28,10,East_exit,10,7
dl_28,11,West_exit,11,7
dl_28,6,West_exit,6,4
dl_28,7,East_exit,7,5
dl_28,5,East_exit,5,4
dl_29,3,,,
dl_29,27,West_exit,27,18
dl_29,28,East_exit,28,19
dl_29,29,West_exit,29,19
dl_29,26,East_exit,26,18
dl_30,3,,,
dl_30,29,East_exit,29,20
dl_30,30,East_exit,30,21
dl_30,31,West_exit,31,20
dl_30,32,West_exit,32,21
dl_31,2,,,
dl_31,8,East_exit,8,6
dl_31,9,West_exit,9,6
