constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id
dl_0,3,,,
dl_0,15,East_exit,15,11
dl_0,16,West_exit,16,10
dl_0,14,East_exit,14,10
dl_0,17,West_exit,17,11
dl_1,3,,,
dl_1,6,West_exit,6,4
dl_1,7,East_exit,7,5
dl_1,5,East_exit,5,4
dl_1,8,West_exit,8,5
dl_2,2,,,
dl_2,8,West_exit,8,5
dl_2,6,East_exit,6,5
dl_2,7,East_exit,7,5
dl_3,2,,,
dl_3,5,West_exit,5,3
dl_3,3,East_exit,3,3
dl_3,4,East_exit,4,3
dl_4,3,,,
dl_4,15,West_exit,15,10
dl_4,16,East_exit,16,11
dl_4,17,West_exit,17,11
dl_4,14,East_exit,14,10
dl_5,2,,,
dl_5,14,East_exit,14,10
dl_5,15,West_exit,15,10
dl_5,16,West_exit,16,10
dl_6,2,,,
dl_6,11,East_exit,11,8
dl_6,12,West_exit,12,8
dl_6,13,West_exit,13,8
dl_7,3,,,
dl_7,12,East_exit,12,9
dl_7,13,West_exit,13,8
dl_7,11,East_exit,11,8
dl_7,14,West_exit,14,9
dl_8,2,,,
dl_8,14,West_exit,14,9
dl_8,12,East_exit,12,9
dl_8,13,East_exit,13,9
dl_9,3,,,
dl_9,3,East_exit,3,3
dl_9,4,West_exit,4,2
dl_9,2,East_exit,2,2
dl_9,5,West_exit,5,3
dl_10,3,,,
dl_10,3,West_exit,3,2
dl_10,4,East_exit,4,3
dl_10,2,East_exit,2,2
dl_10,5,West_exit,5,3
dl_11,2,,,
dl_11,11,West_exit,11,7
dl_11,9,East_exit,9,7
dl_11,10,East_exit,10,7
dl_12,3,,,
dl_12,9,East_exit,9,7
dl_12,10,West_exit,10,6
dl_12,8,East_exit,8,6
dl_12,11,West_exit,11,7
dl_13,3,,,
dl_13,12,West_exit,12,8
dl_13,13,East_exit,13,9
dl_13,14,West_exit,14,9
dl_13,11,East_exit,11,8
dl_14,2,,,
dl_14,8,East_exit,8,6
dl_14,9,West_exit,9,6
dl_14,10,West_exit,10,6
dl_15,3,,,
dl_15,6,East_exit,6,5
dl_15,7,West_exit,7,4
dl_15,5,East_exit,5,4
dl_15,8,West_exit,8,5
dl_16,2,,,
dl_16,5,East_exit,5,4
dl_16,6,West_exit,6,4
dl_16,7,West_exit,7,4
dl_17,5,,,
dl_17,3,West_exit,3,2
dl_17,4,East_exit,4,3
dl_17,2,East_exit,2,2
dl_17,6,East_exit,6,5
dl_17,7,West_exit,7,4
dl_17,8,West_exit,8,5
dl_18,5,,,
dl_18,6,East_exit,6,5
dl_18,7,West_exit,7,4
dl_18,5,East_exit,5,4
dl_18,9,East_exit,9,7
dl_18,10,West_exit,10,6
dl_18,11,West_exit,11,7
dl_19,7,,,
dl_19,3,West_exit,3,2
dl_19,4,East_exit,4,3
dl_19,2,East_exit,2,2
dl_19,9,East_exit,9,7
dl_19,10,West_exit,10,6
dl_19,11,West_exit,11,7
dl_19,6,East_exit,6,5
dl_19,7,West_exit,7,4
dl_20,5,,,
dl_20,9,East_exit,9,7
dl_20,10,West_exit,10,6
dl_20,8,East_exit,8,6
dl_20,12,East_exit,12,9
dl_20,13,West_exit,13,8
dl_20,14,West_exit,14,9
dl_21,7,,,
dl_21,6,East_exit,6,5
dl_21,7,West_exit,7,4
dl_21,5,East_exit,5,4
dl_21,12,East_exit,12,9
dl_21,13,West_exit,13,8
dl_21,14,West_exit,14,9
dl_21,9,East_exit,9,7
dl_21,10,West_exit,10,6
dl_22,9,,,
dl_22,3,West_exit,3,2
dl_22,4,East_exit,4,3
dl_22,2,East_exit,2,2
dl_22,6,East_exit,6,5
dl_22,7,West_exit,7,4
dl_22,12,East_exit,12,9
dl_22,13,West_exit,13,8
dl_22,14,West_exit,14,9
dl_22,9,East_exit,9,7
dl_22,10,West_exit,10,6
dl_23,3,,,
dl_23,9,West_exit,9,6
dl_23,10,East_exit,10,7
dl_23,11,West_exit,11,7
dl_23,8,East_exit,8,6
dl_24,5,,,
dl_24,9,West_exit,9,6
dl_24,10,East_exit,10,7
dl_24,11,West_exit,11,7
dl_24,6,West_exit,6,4
dl_24,7,East_exit,7,5
dl_24,5,East_exit,5,4
dl_25,5,,,
dl_25,3,East_exit,3,3
dl_25,4,West_exit,4,2
dl_25,2,East_exit,2,2
dl_25,6,West_exit,6,4
dl_25,7,East_exit,7,5
dl_25,8,West_exit,8,5
dl_26,4,,,
dl_26,6,West_exit,6,4
dl_26,7,East_exit,7,5
dl_26,8,West_exit,8,5
dl_26,3,East_exit,3,3
dl_26,4,East_exit,4,3
dl_27,5,,,
dl_27,12,East_exit,12,9
dl_27,13,West_exit,13,8
dl_27,11,East_exit,11,8
dl_27,15,East_exit,15,11
dl_27,16,West_exit,16,10
dl_27,17,West_exit,17,11
dl_28,6,,,
dl_28,9,West_exit,9,6
dl_28,10,East_exit,10,7
dl_28,11,West_exit,11,7
dl_28,6,West_exit,6,4
dl_28,7,East_exit,7,5
dl_28,3,East_exit,3,3
dl_28,4,East_exit,4,3
dl_29,5,,,
dl_29,6,West_exit,6,4
dl_29,7,East_exit,7,5
dl_29,8,West_exit,8,5
dl_29,3,West_exit,3,2
dl_29,4,East_exit,4,3
dl_29,2,East_exit,2,2
dl_30,7,,,
dl_30,9,West_exit,9,6
dl_30,10,East_exit,10,7
dl_30,11,West_exit,11,7
dl_30,3,West_exit,3,2
dl_30,4,East_exit,4,3
dl_30,2,East_exit,2,2
dl_30,6,West_exit,6,4
dl_30,7,East_exit,7,5
