constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id
dl_0,2,,,
dl_0,8,West_exit,8,5
dl_0,6,East_exit,6,5
dl_0,7,East_exit,7,5
dl_1,3,,,
dl_1,15,East_exit,15,11
dl_1,16,West_exit,16,10
dl_1,14,East_exit,14,10
dl_1,17,West_exit,17,11
dl_2,2,,,
dl_2,14,West_exit,14,9
dl_2,12,East_exit,12,9
dl_2,13,East_exit,13,9
dl_3,2,,,
dl_3,11,West_exit,11,7
dl_3,9,East_exit,9,7
dl_3,10,East_exit,10,7
dl_4,3,,,
dl_4,9,West_exit,9,6
dl_4,10,East_exit,10,7
dl_4,11,West_exit,11,7
dl_4,8,East_exit,8,6
dl_5,3,,,
dl_5,15,West_exit,15,10
dl_5,16,East_exit,16,11
dl_5,14,East_exit,14,10
dl_5,17,West_exit,17,11
dl_6,2,,,
dl_6,11,East_exit,11,8
dl_6,12,West_exit,12,8
dl_6,13,West_exit,13,8
dl_7,2,,,
dl_7,14,East_exit,14,10
dl_7,15,West_exit,15,10
dl_7,16,West_exit,16,10
dl_8,2,,,
dl_8,5,West_exit,5,3
dl_8,3,East_exit,3,3
dl_8,4,East_exit,4,3
dl_9,3,,,
dl_9,6,West_exit,6,4
dl_9,7,East_exit,7,5
dl_9,8,West_exit,8,5
dl_9,5,East_exit,5,4
dl_10,3,,,
dl_10,12,West_exit,12,8
dl_10,13,East_exit,13,9
dl_10,14,West_exit,14,9
dl_10,11,East_exit,11,8
dl_11,5,,,
dl_11,9,West_exit,9,6
dl_11,10,East_exit,10,7
dl_11,11,West_exit,11,7
dl_11,6,West_exit,6,4
dl_11,7,East_exit,7,5
dl_11,5,East_exit,5,4
dl_12,3,,,
dl_12,3,East_exit,3,3
dl_12,4,West_exit,4,2
dl_12,2,East_exit,2,2
dl_12,5,West_exit,5,3
dl_13,3,,,
dl_13,6,East_exit,6,5
dl_13,7,West_exit,7,4
dl_13,5,East_exit,5,4
dl_13,8,West_exit,8,5
dl_14,2,,,
dl_14,8,East_exit,8,6
dl_14,9,West_exit,9,6
dl_14,10,West_exit,10,6
dl_15,2,,,
dl_15,5,East_exit,5,4
dl_15,6,West_exit,6,4
dl_15,7,West_exit,7,4
dl_16,3,,,
dl_16,3,West_exit,3,2
dl_16,4,East_exit,4,3
dl_16,2,East_exit,2,2
dl_16,5,West_exit,5,3
dl_17,4,,,
dl_17,6,West_exit,6,4
dl_17,7,East_exit,7,5
dl_17,8,West_exit,8,5
dl_17,3,East_exit,3,3
dl_17,4,East_exit,4,3
dl_18,6,,,
dl_18,9,West_exit,9,6
dl_18,10,East_exit,10,7
dl_18,11,West_exit,11,7
dl_18,6,West_exit,6,4
dl_18,7,East_exit,7,5
dl_18,3,East_exit,3,3
dl_18,4,East_exit,4,3
dl_19,3,,,
dl_19,12,East_exit,12,9
dl_19,13,West_exit,13,8
dl_19,11,East_exit,11,8
dl_19,14,West_exit,14,9
dl_20,5,,,
dl_20,12,East_exit,12,9
dl_20,13,West_exit,13,8
dl_20,11,East_exit,11,8
dl_20,15,East_exit,15,11
dl_20,16,West_exit,16,10
dl_20,17,West_exit,17,11
dl_21,3,,,
dl_21,9,East_exit,9,7
dl_21,10,West_exit,10,6
dl_21,8,East_exit,8,6
dl_21,11,West_exit,11,7
