id,tail,head,length,direction,comment,comment 2
0,0,1,1.000000,0,West spawn,
1,1,0,0.500000,0,West exit,
2,1,2,1.634000,1,West corridor to PL_0,
3,3,2,0.700000,1,PL_0 main line,
4,2,3,0.700000,1,PL_0 siding,
5,3,4,2.347000,1,Corridor PL_0 to PL_1,
6,5,4,0.700000,1,PL_1 main line,
7,4,5,0.700000,1,PL_1 siding,
8,5,6,2.264000,1,Corridor PL_1 to PL_2,
9,7,6,0.700000,1,PL_2 main line,
10,6,7,0.700000,1,PL_2 siding,
11,7,8,1.755000,1,Corridor PL_2 to PL_3,
12,9,8,0.700000,1,PL_3 main line,
13,8,9,0.700000,1,PL_3 siding,
14,9,10,1.995000,1,Corridor PL_3 to PL_4,
15,11,10,0.700000,1,PL_4 main line,
16,10,11,0.700000,1,PL_4 siding,
17,11,12,1.949000,1,Corridor PL_4 to PL_5,
18,13,12,0.700000,1,PL_5 main line,
19,12,13,0.700000,1,PL_5 siding,
20,13,14,2.152000,1,Corridor PL_5 to PL_6,
21,15,14,0.700000,1,PL_6 main line,
22,14,15,0.700000,1,PL_6 siding,
23,15,16,2.289000,1,Corridor PL_6 to PL_7,
24,17,16,0.700000,1,PL_7 main line,
25,16,17,0.700000,1,PL_7 siding,
26,17,18,1.594000,1,Corridor PL_7 to PL_8,
27,19,18,0.700000,1,PL_8 main line,
28,18,19,0.700000,1,PL_8 siding,
29,19,20,1.528000,1,Corridor PL_8 to PL_9,
30,21,20,0.700000,1,PL_9 main line,
31,20,21,0.700000,1,PL_9 siding,
32,21,22,2.336000,1,Corridor PL_9 to East,
33,23,22,1.000000,0,East spawn,
34,22,23,0.500000,0,East exit,
35,24,1,1.000000,0,West spawn long,
36,1,24,0.500000,0,West exit long,
37,25,22,1.000000,0,East spawn long,
38,22,25,0.500000,0,East exit long,
